LEGACY_UNIT_OF_MEASUREMENT	UNIT_OF_MEASUREMENT	DIMENSION_KEY	EXT_UOM_COMM_FORM_TXT_GBL	EXT_UOM_COMM_FORM_TXT_LCL	DI_TIMESTAMP										
MGL	MGL	DENSI	Density	Dichte	2017.07.06 08:56:49										
MGQ	MGQ	DENSI	Density	Dichte	2017.07.06 08:56:49										
MGW	MGW	POWER	Power	Leistung	2017.07.06 08:56:49										
MGq	MGq	DENSI	Density	Dichte	2017.07.06 08:56:49										
MHZ	MHZ	FREQU	Frequency	Frequenz	2017.07.06 08:56:49										
MI	MI	LENGTH	Length	Länge	2017.07.06 08:56:49										
MI2	MI2	SURFAC	Area	Fläche	2017.07.06 08:56:49										
MIM	MIM	LENGTH	Length	Länge	2017.07.06 08:56:49										
MIN	MIN	TIME	Time	Zeit	2017.07.06 08:56:49										
MIS	MIS	TIME	Time	Zeit	2017.07.06 08:56:49										
MJ	MJ	ENERGY	Energy	Energie	2017.07.06 08:56:49										
MJK	MJK	SPENER	Specific energy	Spezifische Energie	2017.07.06 08:56:49										
ML	ML	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
MLK	MLK	VPROPO	Volume proportion	Volumenverhältnis	2017.07.06 08:56:49										
MLW	MLW	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
MM	MM	LENGTH	Length	Länge	2017.07.06 08:56:49										
MM2	MM2	SURFAC	Area	Fläche	2017.07.06 08:56:49										
MMA	MMA	SPEED	Speed	Geschwindigkeit	2017.07.06 08:56:49										
MMG	MMG	SPAEQU	Specific Equivalent	Spez Äquivalentmenge	2017.07.06 08:56:49										
MMH	MMH	SPEED	Speed	Geschwindigkeit	2017.07.06 08:56:49										
MMK	MMK	SPAEQU	Specific Equivalent	Spez Äquivalentmenge	2017.07.06 08:56:49										
MMO	MMO	MOLQU	Mole quantity	Molmenge	2017.07.06 08:56:49										
MMQ	MMQ	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
MMS	MMS	SPEED	Speed	Geschwindigkeit	2017.07.06 08:56:49										
MNM	MNM	SURFTE	Surface tension	Oberflächenspannung	2017.07.06 08:56:49										
MOK	MOK	SPAEQU	Specific Equivalent	Spez Äquivalentmenge	2017.07.06 08:56:49										
MOL	MOL	MOLQU	Mole quantity	Molmenge	2017.07.06 08:56:49										
MON	MON	TIME	Time	Zeit	2017.07.06 08:56:49										
MPA	MPA	PRESS	Pressure	Druck	2017.07.06 08:56:49										
MPB	MPB	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
MPG	MPG	SURINV	Inverse Surface Area	Inverse Fläche	2017.07.06 08:56:49										
MPM	MPM	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
MPS	MPS	VISDYN	Dynamic viscosity	Zähigkeit, dynamisch	2017.07.06 08:56:49										
MPT	MPT	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
MPZ	MPZ	STEXKZ	Dust explosion ratio	Staubexplosionskennz	2017.07.06 08:56:49										
MQH	MQH	VOLFLO	Volumetric Flow Rate	Volumenstrom	2017.07.06 08:56:49										
MS	MS	TIME	Time	Zeit	2017.07.06 08:56:49										
MS2	MS2	ACCEL	Acceleration	Beschleunigung	2017.07.06 08:56:49										
MTE	MTE	MAGNFD	Magnet. Flux Density	Magnet. Flußdichte	2017.07.06 08:56:49										
MTM	MTM	TKONZ	Particle concentrat.	Teilchenkonzentratio	2017.07.06 08:56:49										
MTS	MTS	SPEED	Speed	Geschwindigkeit	2017.07.06 08:56:49										
MTf	MTf	TKONZ	Particle concentrat.	Teilchenkonzentratio	2017.07.06 08:56:49										
MV	MV	VOLTAG	Electrical Tension	Elektr. Spannung	2017.07.06 08:56:49										
MVA	MVA	POWER	Power	Leistung	2017.07.06 08:56:49										
MW	MW	POWER	Power	Leistung	2017.07.06 08:56:49										
MWH	MWH	ENERGY	Energy	Energie	2017.07.06 08:56:49										
N	N	FORCE	Force	Kraft	2017.07.06 08:56:49										
NAM	NAM	LENGTH	Length	Länge	2017.07.06 08:56:49										
NM	NM	SURFTE	Surface tension	Oberflächenspannung	2017.07.06 08:56:49										
NS	NS	TIME	Time	Zeit	2017.07.06 08:56:49										
OCM	OCM	SPREST	Sp. Elec. Resistance	Spez. el. Widerstand	2017.07.06 08:56:49										
OHM	OHM	RESIST	Elec. Resistance	Elektr. Widerstand	2017.07.06 08:56:49										
OM	OM	SPREST	Sp. Elec. Resistance	Spez. el. Widerstand	2017.07.06 08:56:49										
OZ	OZ	MASS	Mass	Masse	2017.07.06 08:56:49										
OZA	OZA	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
P	P	POINTS	Points	Punkte	2017.07.06 08:56:49										
PA	PA	PRESS	Pressure	Druck	2017.07.06 08:56:49										
PAA	PAA	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
PAK	PAK	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
PAL	PAL	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
PAS	PAS	VISDYN	Dynamic viscosity	Zähigkeit, dynamisch	2017.07.06 08:56:49										
PCT	PCT	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
PDA	PDA	TIME	Time	Zeit	2017.07.06 08:56:49										
PMI	PMI	FREQU	Frequency	Frequenz	2017.07.06 08:56:49										
PMR	PMR	PERMEA	Permeability	Permeabilität	2017.07.06 08:56:49										
PPB	PPB	PROPOR	Proportion	Verhältnis	2017.07.06 08:56:49										
PPM	PPM	PROPOR	Proportion	Verhältnis	2017.07.06 08:56:49										
PPT	PPT	PROPOR	Proportion	Verhältnis	2017.07.06 08:56:49										
PRM	PRM	PERMEA	Permeability	Permeabilität	2017.07.06 08:56:49										
PRS	PRS	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
PS	PS	TIME	Time	Zeit	2017.07.06 08:56:49										
PT	PT	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
PTS	PTS	SURFAC	Area	Fläche	2017.07.06 08:56:49										
QT	QT	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
