LEGACY_COST_ELEMENT	CHART_OF_ACCOUNTS	COST_ELEMENT	COST_ELEMENT_TXT_GBL	COST_ELEMENT_TXT_LCL	DI_TIMESTAMP										
0044003200	YCOA	0044003200	CUST SALESDED AFFILI	KD ERLSCHMÄL VERBUND	2017.07.06 08:56:49										
0044004000	YCOA	0044004000	SALES DEDUC MATERIAL	KUNDENABZUG MATERIAL	2017.07.06 08:56:49										
0044005000	YCOA	0044005000	FREE GDS/DISC IN KND	NATURALRABATTE	2017.07.06 08:56:49										
0044006000	YCOA	0044006000	SALES DEDUC QUANTITY	ERLÖSSCHMÄL. - MENGE	2017.07.06 08:56:49										
0044007000	YCOA	0044007000	(-) IPI ON SALES	(-) IPI AUF UMSATZ	2017.07.06 08:56:49										
0044007001	YCOA	0044007001	(-) ICMS ON SALES	(-) ICMS AUF UMSATZ	2017.07.06 08:56:49										
0052544000	YCOA	0052544000	GAIN PRC DIF (LKW)	ERTRAG PRDIFF LKW	2017.07.06 08:56:49										
0052545000	YCOA	0052545000	POSTERIOR REAL RATE	LV LT PERENDE (AUI)	2017.07.06 08:56:49										
0052546000	YCOA	0052546000	CONSUMPTION VALUATIO	VERBR.BEWERTG. (COC)	2017.07.06 08:56:49										
0052551000	YCOA	0052551000	GAIN CSPT CSGN R&TR	ERTR.KONSIVERBR.R&HW	2017.07.06 08:56:49										
0052552000	YCOA	0052552000	GAIN CSPT CSGN SF&F	ERTR VERB KONS HF/FE	2017.07.06 08:56:49										
0052560000	YCOA	0052560000	GAIN SML PRC DIFF IR	ERTRAG KLEINDIFF	2017.07.06 08:56:49										
0052570000	YCOA	0052570000	GAIN PRDN VARIANCE	ERTRAG PROD PRDIFF	2017.07.06 08:56:49										
0052570500	YCOA	0052570500	GAIN INV VAL ADJ OWN	ERTR.BESTWRTKORR.EIG	2017.07.06 08:56:49										
0052580000	YCOA	0052580000	GAIN ALLWD DIFF CLRG	ERTRAG TOL AUSGLDIF	2017.07.06 08:56:49										
0052590000	YCOA	0052590000	FREIGHT REVENUE/REC.	FRACHTERLÖS/RÜCKGEW.	2017.07.06 08:56:49										
0054011000	YCOA	0054011000	INV PCH OFFS RAW	BV EINKGEGKNT ROHST.	2017.07.06 08:56:49										
0054011100	YCOA	0054011100	INVCH PUROFFS PACKAG	BV EINKGEGKNT. VERP.	2017.07.06 08:56:49										
0054011200	YCOA	0054011200	INVCH PUROFFS TRADIN	BV EINKGEGKNT. HAND.	2017.07.06 08:56:49										
0054013000	YCOA	0054013000	INV PCH OFFS SF&FIN	BST. EINKGEGKT HF/FE	2017.07.06 08:56:49										
0054051000	YCOA	0054051000	INV CHG SCRP EXT PRD	VERSCHROTTUNG FREMD	2017.07.06 08:56:49										
0054053000	YCOA	0054053000	INV CHG SCRP OWN PRD	VERSCHROTTUNG EIGEN	2017.07.06 08:56:49										
0054083000	YCOA	0054083000	INV CHG COGS W/CE	VERKAUF EIGEN KOART	2017.07.06 08:56:49										
0054084000	YCOA	0054084000	INV CHG COGS W/CE SO		2017.07.06 08:56:49										
0054093000	YCOA	0054093000	INV CHG QM CNS.OWN P	VERBR QM EIGEN KOART	2017.07.06 08:56:49										
0054300000	YCOA	0054300000	INV CHG SF GOODS	BV UNF. ERZEUGNISSE	2017.07.06 08:56:49										
0054400000	YCOA	0054400000	INV CHG FIN GOODS	BV FERT. ERZEUGNISSE	2017.07.06 08:56:49										
0052046000	YCOA	0052046000	LOSS PRICE DIFF FM L	AUFW PREISDIFF PRC	2017.07.06 08:56:49										
0052051000	YCOA	0052051000	LOSS CSPT CSGN R&TR	AUFW.KONSIVERBR.R&HW	2017.07.06 08:56:49										
0052053000	YCOA	0052053000	LOSS CSPT CSGN SF&F	AUFWAND VERB. KHF/FE	2017.07.06 08:56:49										
0052060000	YCOA	0052060000	LOSS SML PRC DIFF IR	AUFWAND KLEINDIFF	2017.07.06 08:56:49										
0052070000	YCOA	0052070000	LOSS PRODN VARIANCE	AUFWAND PROD PRDIFF	2017.07.06 08:56:49										
0052070500	YCOA	0052070500	LOSS INV VAL ADJ OWN	AUFW.BESTWRTKORR.EIG	2017.07.06 08:56:49										
0052071000	YCOA	0052071000	PRICE DIFFERENC PRIV	PREISDIFFERENZ PRIV	2017.07.06 08:56:49										
0052072000	YCOA	0052072000	PRICE DIFFERENC QTYV	PREISDIFFERENZ QTYV	2017.07.06 08:56:49										
0071010400	YCOA	0071010400	LOSS CAPITALIZ DIFF	AUFWAND AKTIV.DIFF	2017.07.06 08:56:49										
0071010500	YCOA	0071010500	CLRNG EST DEP ASSETS	VERR KALK AFA ANLAGE	2017.07.06 08:56:49										
0071010600	YCOA	0071010600	CLRNG DEP LOCAL GAAP	VERR AFA LOKAL GAAP	2017.07.06 08:56:49										
0071010700	YCOA	0071010700	ESTIMATED DEP FI-AA	KALK AFA FI-AA	2017.07.06 08:56:49										
0071010800	YCOA	0071010800	DEPREC LOCAL GAAP	AFA LOKAL GAAP	2017.07.06 08:56:49										
0071015000	YCOA	0071015000	OFFSETACCT REVAL DEP	GEGENKTO AUFW. ABSCH	2017.07.06 08:56:49										
0071040000	YCOA	0071040000	DISCNT LOST NET PROC	SKONTO NETTOVERFAHRN	2017.07.06 08:56:49										
0071050000	YCOA	0071050000	CASH DISCOUNT	AUFW. F. SKONTO	2017.07.06 08:56:49										
0071100000	YCOA	0071100000	INTEREST EXPENSE	ZINSAUFWENDUNGEN	2017.07.06 08:56:49										
0071300000	YCOA	0071300000	INTEREST EXPENSE - S	ZINSAUFWAND VERBUND	2017.07.06 08:56:49										
0071800000	YCOA	0071800000	OTHER EXTRA.EXPENSE	AUSSERORDENT AUFWAND	2017.07.06 08:56:49										
0072010000	YCOA	0072010000	LOSS EXCH.RATE DIFF	AUFWAND FW DIFFERZN	2017.07.06 08:56:49										
0072020000	YCOA	0072020000	LOSS RND.DIF.F.CURR	AUFWAND FW RUNDGSDIF	2017.07.06 08:56:49										
0072040000	YCOA	0072040000	LOSS CURR.VAL.	AUFWAND FW BEWERTUNG	2017.07.06 08:56:49										
0072510000	YCOA	0072510000	GAIN EXCH.RATE DIFF	ERTRAG FW DIFFERZN	2017.07.06 08:56:49										
0072520000	YCOA	0072520000	GAIN RND.DIF.F.CURR	ERTRAG FW RUNDGSDIF	2017.07.06 08:56:49										
0072530000	YCOA	0072530000	GAIN REBATES DIFF.	ERTR. BONUSDIFFERENZ	2017.07.06 08:56:49										
0072540000	YCOA	0072540000	GAIN CURR.VAL.	ERTRAG FW BEWERTUNG	2017.07.06 08:56:49										
0075001000	YCOA	0075001000	EXCISE TAXES	VERBRAUCHSTEUERN	2017.07.06 08:56:49										
0075002000	YCOA	0075002000	CORP.INCOME TAX EXP.	AUFW. KÖRPERSCHSTEU.	2017.07.06 08:56:49										
0075002100	YCOA	0075002100	CAPITAL GAINS TAX	KAPITALERTRAGSSTEUER	2017.07.06 08:56:49										
0075002200	YCOA	0075002200	SOLISURCH CORPINCTAX	SOLIZUSCHLAG AUF KST	2017.07.06 08:56:49										
0075002300	YCOA	0075002300	SOLISURCH INTEINCTAX	SOLIZUSCHLAG ZINSAST	2017.07.06 08:56:49										
0052541000	YCOA	0052541000	GAIN PRC VAR PRD	ERTR. PREISABW. WARE	2017.07.06 08:56:49										
0052541500	YCOA	0052541500	GAIN INV VAL ADJ EXT	ERT.BESTWRTKORR.FRMD	2017.07.06 08:56:49										
0052542000	YCOA	0052542000	GAIN PRC DIF (PRV)	ERTRAG PRDIFF PRV	2017.07.06 08:56:49										
0063003000	YCOA	0063003000	OTHER PERSER	SONST. PERIOD. SERV.	2017.07.06 08:56:49										
0063004000	YCOA	0063004000	INSURANCE	VERSICHERUNGEN	2017.07.06 08:56:49										
0063005000	YCOA	0063005000	OFFICE/BUILDING RENT	MIETE PACHT ERBBAUZI	2017.07.06 08:56:49										
0054441000	YCOA	0054441000	RES UNREALIZED COSTS		2017.07.06 08:56:49										
0055100000	YCOA	0055100000	PLNT ACT PROD.ORDER	FABRIKLEISTNG PR.AUF	2017.07.06 08:56:49										
0059900000	YCOA	0059900000	COGS (AFFILIATED)	KDU (VERBUNDENE)	2017.07.06 08:56:49										
0061002000	YCOA	0061002000	3RD PARTY MATERIAL	STRECKENMATERIAL	2017.07.06 08:56:49										
0061003000	YCOA	0061003000	TRAV.EXPENSE HOTEL	REISEK. UNTERKUNFT	2017.07.06 08:56:49										
0061004000	YCOA	0061004000	TRAV.EXPENSE MEALS	REISEK. VERPFLEGUNG	2017.07.06 08:56:49										
0044007002	YCOA	0044007002	(-) ISS ON SALES	(-) ISS AUF UMSATZ	2017.07.06 08:56:49										
0061005000	YCOA	0061005000	TRAVEL EXP GRD TRNSP	REISEKST.-FAHRTKOST.	2017.07.06 08:56:49										
0066000600	YCOA	0066000600	OTHER OPERATING GAIN	SO BETRIEBL. ERTRÄGE	2017.07.06 08:56:49										
0044007003	YCOA	0044007003	(-) PIS ON SALES	(-) PIS AUF UMSATZ	2017.07.06 08:56:49										
0044007004	YCOA	0044007004	(-) COFINS ON SALES	(-) COFINS A. UMSATZ	2017.07.06 08:56:49										
0044420000	YCOA	0044420000	REV ADJ - ERR		2017.07.06 08:56:49										
0050301000	YCOA	0050301000	COGS DIRECT MATERIAL	UK DIREKTMATERIAL	2017.07.06 08:56:49										
0050302000	YCOA	0050302000	COGS THIRD PARTY	UK FREMD.LST.	2017.07.06 08:56:49										
0050303000	YCOA	0050303000	COGS MATERIAL OVERHD	UK MATERIALGEMEINK.	2017.07.06 08:56:49										
0050304000	YCOA	0050304000	COGS PERSONNEL TIME	KDU ARBEITSZEIT	2017.07.06 08:56:49										
0050305000	YCOA	0050305000	COGS MACHINE TIME	KDU MASCHINENZEIT	2017.07.06 08:56:49										
0050306000	YCOA	0050306000	COGS SETUP TIME	KDU RÜSTZEIT	2017.07.06 08:56:49										
0050307000	YCOA	0050307000	COGS PRODUCTN OVERHD	UK FERTIGGEMKOSTEN	2017.07.06 08:56:49										
0050308000	YCOA	0050308000	COGS CREDIT CO/BY-PR	KDU ERT. STPR.KALK.	2017.07.06 08:56:49										
0051100000	YCOA	0051100000	CONSPTN RAW MAT	VERBRAUCH ROHSTOFFE	2017.07.06 08:56:49										
0051500000	YCOA	0051500000	CONSPTN PACKAG MAT	VERBRAUCH VERPACKUNG	2017.07.06 08:56:49										
0051600000	YCOA	0051600000	CONSPTN TRDE GDS	VERBRAUCH HANDELSWAR	2017.07.06 08:56:49										
