LEGACY_GL_ACCOUNT_NUMBER	GL_ACCOUNT_NUMBER	CHART_OF_ACCOUNTS	GL_ACCOUNT_NUMBER_TXT_GBL	GL_ACCOUNT_NUMBER_TXT_LCL	DI_TIMESTAMP										
0012618000	0012618000	YCOA	Input CENVAT	Vorsteuer CENVAT	2018.06.19 05:33:47										
0012619000	0012619000	YCOA	VAT regularizations&out of scope (receivables)	USt-Regelungen und nicht steuerbar (Forderungen)	2018.06.19 05:33:47										
0012631000	0012631000	YCOA	Input Tax (J1*)	Vorsteuer (J1*)	2018.06.19 05:33:47										
0012656000	0012656000	YCOA	SED Input deductable (ZVV)	SED Vorsteuer abzugsfähig (ZVV)	2018.06.19 05:33:47										
0013100000	0013100000	YCOA	Inventory - Raw Material	Bestand Rohstoffe	2018.06.19 05:33:47										
0013100900	0013100900	YCOA	Inventory - Revaluation Raw Material	Bestand - Neubewertung Rohstoffe	2018.06.19 05:33:47										
0013200000	0013200000	YCOA	Inventory - Work In Progress	Bestand Ware in Arbeit	2018.06.19 05:33:47										
0013210000	0013210000	YCOA	WIP	Ware in Arbeit	2018.06.19 05:33:47										
0013300000	0013300000	YCOA	Inventory - Semi Finished Goods	Bestand unfertige Erzeugnisse	2018.06.19 05:33:47										
0013300900	0013300900	YCOA	Inventory - Revaluation Semi Finished Goods	Bestand - Neubewertung Halbfabrikate	2018.06.19 05:33:47										
0013400000	0013400000	YCOA	Inventory - Finished Goods	Bestand Fertige Erzeugnisse	2018.06.19 05:33:47										
0013400900	0013400900	YCOA	Inventory - Revaluation Finished Goods	Bestand - Neubewertung Fertigerzeugnisse	2018.06.19 05:33:47										
0013500000	0013500000	YCOA	Inventory - Packaging Materials	Bestand Verpackung	2018.06.19 05:33:47										
0013500900	0013500900	YCOA	Inventory - Revaluation Packaging Materials	Bestand - Neubewertung Verpackung	2018.06.19 05:33:47										
0013600000	0013600000	YCOA	Inventory - Trading Goods	Bestand - Handelsware	2018.06.19 05:33:47										
0013600900	0013600900	YCOA	Inventory - Revaluation Trading Goods	Bestand - Neubewertung Handelsware	2018.06.19 05:33:47										
0013601000	0013601000	YCOA	Inventory Adjustment Account	Korrekturkonto zum Bestand	2018.06.19 05:33:47										
0013701400	0013701400	YCOA	WIP Deferred Revenue	WIP passive Abgrenzung	2018.06.19 05:33:47										
0013711400	0013711400	YCOA	WIP Accrued Revenue	WIP aktive Abgrenzung	2018.06.19 05:33:47										
0013711900	0013711900	YCOA	WIP Unbilled Revenue	WIP nicht fakturierter Erlös	2018.06.19 05:33:47										
0013781000	0013781000	YCOA	B/S reserves for anticipated losses	Rücklagen Bilanzkonto für drohende Verluste	2018.06.19 05:33:47										
0014102000	0014102000	YCOA	Loans Other - short term	Sonstige Darlehen - kurzfristig	2018.06.19 05:33:47										
0014107000	0014107000	YCOA	Loans to Staff	Mitarbeiterdarlehen	2018.06.19 05:33:47										
0015200000	0015200000	YCOA	Salary and Wages Advances	Lohn- und Gehaltsvorschüsse	2018.06.19 05:33:47										
0015300000	0015300000	YCOA	Trip Costs in Advance	Reisekostenvorschuss	2018.06.19 05:33:47										
0016000000	0016000000	YCOA	Land & Land Improvements	Grundstücke und grundstücksgleiche Rechte	2018.06.19 05:33:47										
0016001000	0016001000	YCOA	Buildings	Betriebsgebäude	2018.06.19 05:33:47										
0016001010	0016001010	YCOA	Buildings - Reduction Entry Reserve	Gebäude - Kürzung Einrittsrückstellung	2018.06.19 05:33:47										
0016002000	0016002000	YCOA	Machinery & Equipment	Technische Anlagen und Maschinen	2018.06.19 05:33:47										
0016003000	0016003000	YCOA	Building Improvements	Gebäudeeinrichtungen	2018.06.19 05:33:47										
0016004000	0016004000	YCOA	Motor Vehicles	Fuhrpark	2018.06.19 05:33:47										
0016005000	0016005000	YCOA	Office Equipment	Betriebs- und Geschäftsausstattung	2018.06.19 05:33:47										
0016006000	0016006000	YCOA	Furniture and Fixtures	Büroeinrichtung	2018.06.19 05:33:47										
0016007000	0016007000	YCOA	Computer Hardware and Equipment	Computer-Hardware und -Ausstattung	2018.06.19 05:33:47										
0016008000	0016008000	YCOA	Computer Software	Computer-Software	2018.06.19 05:33:47										
0016009000	0016009000	YCOA	Assets under Construction	Anlagen im Bau	2018.06.19 05:33:47										
0016010000	0016010000	YCOA	Down Payments made on Tangible Assets w/o FI-AA	Geleistete Anzahlungen auf Sachanlagen	2018.06.19 05:33:47										
0016010500	0016010500	YCOA	Sett. of Input Tax Down Payts Tangibles w/o FI-AA	Verrechnung Vorsteuer für Anzahlungen Sachanlagen	2018.06.19 05:33:47										
0016011500	0016011500	YCOA	Input Tax Clearing Intangibles Down Payments made	VSt-Verrechnung Anzahlung immaterielle Anlagen	2018.06.19 05:33:47										
0016012000	0016012000	YCOA	Capitalized Down Payments made on Fixed Assets	Aktivierte Anzahlungen auf Anlagen	2018.06.19 05:33:47										
0016013000	0016013000	YCOA	Clearing capitalized Down Payments on Fixed Assets	Verrechnung aktivierte Anzahlungen auf Anlagen	2018.06.19 05:33:47										
0016014000	0016014000	YCOA	Technical Clrng Acct Integrated Asset Acquisition	Technische Verrechnung integrierter Anlagenzugang	2018.06.19 05:33:47										
0016014100	0016014100	YCOA	Clearing Account for Asset Acquisition	Verrechnungskonto Anlagenzugang	2018.06.19 05:33:47										
0016015000	0016015000	YCOA	Offsetting Account Revaluation APC	Gegenkonto Aufwertung AHK	2018.06.19 05:33:47										
0016020000	0016020000	YCOA	Low Value Assets	Geringwertige Wirtschaftsgüter	2018.06.19 05:33:47										
0016050000	0016050000	YCOA	Land & Land Improvements (ROU)	Grundstücke und Bodenerschließungen (ROU)	2018.06.19 05:33:47										
0016051000	0016051000	YCOA	Buildings (ROU)	Gebäude (ROU)	2018.06.19 05:33:47										
0016052000	0016052000	YCOA	Machinery & Equipment (ROU)	Technische Anlagen und Maschinen (ROU)	2018.06.19 05:33:47										
0016054000	0016054000	YCOA	Motor Vehicles (ROU)	Fuhrpark (ROU)	2018.06.19 05:33:47										
0016055000	0016055000	YCOA	Office Equipment (ROU)	Geschäftsausstattung (ROU)	2018.06.19 05:33:47										
0016056000	0016056000	YCOA	Furniture and Fixtures (ROU)	Betriebs- und Geschäftsausstattung (ROU)	2018.06.19 05:33:47										
0016057000	0016057000	YCOA	Computer Hardware and Equipment (ROU)	Computer-Hardware und -Ausstattung (ROU)	2018.06.19 05:33:47										
0016059000	0016059000	YCOA	Leasing Clearing Account	Verrechnungskonto Leasing	2018.06.19 05:33:47										
0017000000	0017000000	YCOA	Accumulated Depreciation - Land Improvements	Wertberichtigungen Grundstücke	2018.06.19 05:33:47										
0017001000	0017001000	YCOA	Accumulated Depreciation - Buildings	Wertberichtigungen Betriebsgebäude	2018.06.19 05:33:47										
0017001010	0017001010	YCOA	Acc Depr Buildings - Reduction Entry Reserve	Kumulierte Abschr. Geb. - Kürz. Eintrittsrückst.	2018.06.19 05:33:47										
0017002000	0017002000	YCOA	Accumulated Depreciation - Machinery & Equipment	Wertberichtigungen Technische Anlagen u. Maschinen	2018.06.19 05:33:47										
0017003000	0017003000	YCOA	Accumulated Depreciation - Building Improvements	Wertberichtigungen Gebäudeeinrichtungen	2018.06.19 05:33:47										
