LEGACY_REGION	REGION	COUNTRY	REGION_TXT_GBL	REGION_TXT_LCL	DI_TIMESTAMP										
030	030	LV	Ērgļi	Ergli	2018.06.19 05:33:47										
030	030	SI	Gornji Grad	Gornji Grad	2018.06.19 05:33:47										
031	031	LV	Garkalne	Garkalne	2018.06.19 05:33:47										
031	031	SI	Gornji Petrovci	Gornji Petrovci	2018.06.19 05:33:47										
032	032	LV	Grobiņa	Grobina	2018.06.19 05:33:47										
032	032	SI	Grosuplje	Grosuplje	2018.06.19 05:33:47										
033	033	LV	Gulbene	Gulbene	2018.06.19 05:33:47										
033	033	SI	Salovci	Salovci	2018.06.19 05:33:47										
034	034	LV	Iecava	Iecava	2018.06.19 05:33:47										
034	034	SI	Hrastnik	Hrastnik	2018.06.19 05:33:47										
035	035	LV	Ikšķile	Ikskile	2018.06.19 05:33:47										
035	035	MN	Orhon	Orhon	2018.06.19 05:33:47										
035	035	SI	Hrpelje-Kozina	Hrpelje-Kozina	2018.06.19 05:33:47										
036	036	LV	Ilūkste	Ilukste	2018.06.19 05:33:47										
036	036	SI	Idrija	Idrija	2018.06.19 05:33:47										
037	037	LV	Inčukalns	Incukalns	2018.06.19 05:33:47										
037	037	MN	Darhan uul	Darchan-Uul	2018.06.19 05:33:47										
037	037	SI	Ig	Ig	2018.06.19 05:33:47										
038	038	LV	Jaunjelgava	Jaunjelgava	2018.06.19 05:33:47										
038	038	SI	Ilirska Bistrica	Ilirska Bistrica	2018.06.19 05:33:47										
039	039	LV	Jaunpiebalga	Jaunpiebalga	2018.06.19 05:33:47										
039	039	MN	Hentiy	Hentiy	2018.06.19 05:33:47										
039	039	SI	Ivancna Gorica	Ivancna Gorica	2018.06.19 05:33:47										
04	04	AD	La Massana	La Massana	2018.06.19 05:33:47										
04	04	AL	Fier	Fier	2018.06.19 05:33:47										
04	04	AR	Corrientes	Corrientes	2018.06.19 05:33:47										
04	04	BD	Brahmanbaria	Brahmanbaria	2018.06.19 05:33:47										
04	04	BG	Veliko Tarnovo	Weliko Tarnowo	2018.06.19 05:33:47										
04	04	CU	Matanzas	Matanzas	2018.06.19 05:33:47										
04	04	CY	Famagusta	Famagusta	2018.06.19 05:33:47										
04	04	DM	Saint George	Saint George	2018.06.19 05:33:47										
04	04	DO	Barahona	Barahona	2018.06.19 05:33:47										
04	04	DZ	Oum el Bouaghi	Oum el Bouaghi	2018.06.19 05:33:47										
04	04	ES	Almeria	Almería	2018.06.19 05:33:47										
04	04	FI	Southern Savonia	Südsavo	2018.06.19 05:33:47										
04	04	FR	Alpes (Hte-Provence)	Alpes (Hte-Provence)	2018.06.19 05:33:47										
04	04	GD	Saint John	Saint John	2018.06.19 05:33:47										
04	04	HR	Karlovacka	Karlovacka 	2018.06.19 05:33:47										
04	04	IR	Isfahan	Isfahan	2018.06.19 05:33:47										
04	04	JM	Portland	Portland	2018.06.19 05:33:47										
04	04	JP	Miyagi	Miyagi	2018.06.19 05:33:47										
04	04	KE	Busia	Busia	2018.06.19 05:33:47										
04	04	KN	St George Gingerland	St George Gingerland	2018.06.19 05:33:47										
04	04	KP	Chagang	Chagang	2018.06.19 05:33:47										
04	04	LI	Mauren	Mauren	2018.06.19 05:33:47										
04	04	MA	Rabat-Salé-Kénitra		2018.06.19 05:33:47										
